1,"EldonBaseforstackablestorageshelfplatinum","MuhammedMacIntyre",3,-213.25,38.94,35,"Nunavut","Storage&Organization",0.8,
2,"1.7CubicFootCompact""Cube""OfficeRefrigerators","BarryFrench",293,457.81,208.16,68.02,"Nunavut","Appliances",0.58,
3,"CardinalSlant-DRingBinderHeavyGaugeVinyl","BarryFrench",293,46.71,8.69,2.99,"Nunavut","BindersandBinderAccessories",0.39,
4,"R380","ClayRozendal",483,1198.97,195.99,3.99,"Nunavut","TelephonesandCommunication",0.58,
5,"HolmesHEPAAirPurifier","CarlosSoltero",515,30.94,21.78,5.94,"Nunavut","Appliances",0.5,
6,"G.E.Longer-LifeIndoorRecessedFloodlightBulbs","CarlosSoltero",515,4.43,6.64,4.95,"Nunavut","OfficeFurnishings",0.37,
7,"Angle-DBinderswithLockingRingsLabelHolders","CarlJackson",613,-54.04,7.3,7.72,"Nunavut","BindersandBinderAccessories",0.38,
8,"SAFCOMobileDeskSideFileWireFrame","CarlJackson",613,127.7,42.76,6.22,"Nunavut","Storage&Organization",,
9,"SAFCOCommercialWireShelvingBlack","MonicaFederle",643,-695.26,138.14,35,"Nunavut","Storage&Organization",,
10,"Xerox198","DorothyBadders",678,-226.36,4.98,8.33,"Nunavut","Paper",0.38
